index,Country_Code,Country_Name,Continent_Name,Years,GDP,Expenditures,PopTotal,Departure,Receipts,Arrivals,Jobs,Receipts_PCapita,Ratio GDP,AVG_Exp_Arrivals,Jobs_per_tourist,Cost_of_oneJob,GDP_N,Expenditures_N,PopTotal_N,Arrivals_N,Departure_N
WLD2000,WLD,,World,2000,5492.57777149425,536815121209.44,6115108363.0,829615668.8702741,570988410932.603,677386990.330029,0.0,93.37339210330573,0.01699992171033085,792.4792310343882,0.0,inf,-0.3418997225027379,3.0125301982867585,5.389030362742114,4.085674086090915,4.363513377295384
WLD2001,WLD,,World,2001,5391.239108142029,526996945772.116,6194460444.0,840120739.5213469,562232181293.876,678246237.594481,0.0,90.76370514859906,0.016835407098068546,776.9994384947905,0.0,inf,-0.3425391595562611,2.9519875358486725,5.46223218177084,4.09124908849616,4.422502870902158
WLD2002,WLD,,World,2002,5527.01393782582,552294025016.805,6273526441.0,845298488.433861,588750384847.9879,698431588.301475,0.0,93.84680058097294,0.016979656942549663,790.7632390452674,0.0,inf,-0.3416824336614873,3.107979098553745,5.535170090024562,4.222216486820074,4.45157766692374
WLD2003,WLD,,World,2003,6123.76663934434,608289545573.786,6352677699.0,843789290.114712,646413409181.215,689071739.21153,0.0,101.75447894719568,0.01661632210042712,882.7666423670503,0.0,inf,-0.33791698248502244,3.453269108980593,5.608186651039667,4.1614875402781735,4.443103012392053
WLD2004,WLD,,World,2004,6811.87884922482,711122205463.597,6432374971.0,916382454.577917,769414432083.729,761468261.1683309,0.0,119.61591722382333,0.017559900854290062,933.8829229369492,0.0,inf,-0.33357506174693274,4.0873750133884545,5.6817069066965695,4.631213544349884,4.85073796823697
WLD2005,WLD,,World,2005,7287.01074840316,772192734812.3829,6512602867.0,976573243.298968,816987861687.41,808774225.286775,0.0,125.44721033538956,0.01721518118562944,954.7692182432977,0.0,inf,-0.33057702593715005,4.463959488465479,5.755716659812528,4.938145989355676,5.188729426303421
WLD2006,WLD,,World,2006,7802.73520313027,822435641642.8109,6593623202.0,1000618146.3288599,883266088224.861,857088654.563029,0.0,133.95762256432027,0.017168033910798318,959.5689282132835,0.0,inf,-0.32732285507233055,4.773776660460513,5.830457433155534,5.251621598259677,5.32374961804411
WLD2007,WLD,,World,2007,8684.22945531648,950154179949.4509,6675130418.0,1069866871.28422,1022579969984.94,920175482.3771961,0.0,153.1925080036601,0.017640310955841423,1032.579326602799,0.0,inf,-0.3217607125625516,5.5613385044248975,5.905647351302322,5.660944073120984,5.712604424804916
WLD2008,WLD,,World,2008,9412.944808700591,1035593765387.33,6757887172.0,1100156576.6219401,1122335856625.44,936360913.440568,0.0,166.07792170245483,0.017643566925936438,1105.977140355144,0.0,inf,-0.3171625899604656,6.088191992940827,5.981989960763476,5.765959033122962,5.882691275119252
WLD2009,WLD,,World,2009,8820.01759667824,923536680556.2859,6840591577.0,1059959001.97014,1010312995705.45,897533847.971687,0.0,147.69380459760345,0.016745295911113293,1028.9714227974378,0.0,inf,-0.3209039026723919,5.397204721015382,6.0582842785859485,5.5140397168412925,5.656968416921429
WLD2010,WLD,,World,2010,9540.910251116271,1004990531657.29,6922947261.0,1140059121.5652301,1098725788456.3,956372259.6743599,0.0,158.7078085436104,0.01663445146913963,1050.8361378021195,0.0,inf,-0.31635514053549463,5.899480631949231,6.134256903376406,5.895797448677006,6.106757442592946
